datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-01-20 09:15:00,86.45,NFO,20-JAN-2026,98.2,77.7,80.0,8016385,Options,Put,NIFTY,25600.0,5585775
2026-01-20 09:16:00,76.55,NFO,20-JAN-2026,87.55,71.45,84.45,9775155,Options,Put,NIFTY,25600.0,5196555
2026-01-20 09:17:00,70.55,NFO,20-JAN-2026,77.85,70.35,77.85,9775155,Options,Put,NIFTY,25600.0,3650075
2026-01-20 09:18:00,81.8,NFO,20-JAN-2026,82.1,69.0,69.0,9775155,Options,Put,NIFTY,25600.0,5275335
2026-01-20 09:19:00,80.95,NFO,20-JAN-2026,83.45,77.0,82.95,12208235,Options,Put,NIFTY,25600.0,3816605
2026-01-20 09:20:00,85.05,NFO,20-JAN-2026,92.55,81.55,81.55,12208235,Options,Put,NIFTY,25600.0,7733765
2026-01-20 09:21:00,92.55,NFO,20-JAN-2026,94.05,79.4,81.2,12208235,Options,Put,NIFTY,25600.0,5638360
2026-01-20 09:22:00,106.0,NFO,20-JAN-2026,106.75,90.6,93.25,12208560,Options,Put,NIFTY,25600.0,7823725
2026-01-20 09:23:00,105.45,NFO,20-JAN-2026,106.75,101.85,104.0,12208560,Options,Put,NIFTY,25600.0,4571190
2026-01-20 09:24:00,111.3,NFO,20-JAN-2026,113.0,102.6,104.65,12208560,Options,Put,NIFTY,25600.0,4570865
2026-01-20 09:25:00,114.5,NFO,20-JAN-2026,116.7,109.15,111.35,9798815,Options,Put,NIFTY,25600.0,3843775
2026-01-20 09:26:00,114.2,NFO,20-JAN-2026,115.25,101.2,115.2,9798815,Options,Put,NIFTY,25600.0,4023435
2026-01-20 09:27:00,130.45,NFO,20-JAN-2026,132.3,112.35,113.35,9798815,Options,Put,NIFTY,25600.0,6104800
2026-01-20 09:28:00,127.65,NFO,20-JAN-2026,131.9,123.5,131.35,8017230,Options,Put,NIFTY,25600.0,2755675
2026-01-20 09:29:00,129.65,NFO,20-JAN-2026,132.7,124.9,127.75,8017230,Options,Put,NIFTY,25600.0,2036775
2026-01-20 09:30:00,128.5,NFO,20-JAN-2026,134.15,125.8,130.25,8017230,Options,Put,NIFTY,25600.0,2636335
2026-01-20 09:31:00,130.95,NFO,20-JAN-2026,131.45,118.95,127.4,7513610,Options,Put,NIFTY,25600.0,2501395
2026-01-20 09:32:00,125.75,NFO,20-JAN-2026,132.65,123.95,131.0,7513610,Options,Put,NIFTY,25600.0,1584700
2026-01-20 09:33:00,125.45,NFO,20-JAN-2026,125.45,112.4,122.3,7513610,Options,Put,NIFTY,25600.0,2674360
2026-01-20 09:34:00,129.75,NFO,20-JAN-2026,130.5,123.65,124.8,7639450,Options,Put,NIFTY,25600.0,1828775
2026-01-20 09:35:00,139.15,NFO,20-JAN-2026,139.45,125.35,129.55,7639450,Options,Put,NIFTY,25600.0,2797210
