datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-01-12 09:15:00,99.45,NFO,13-JAN-2026,99.75,75.65,86.3,7276945,Options,Put,NIFTY,25700.0,7520370
2026-01-12 09:16:00,106.0,NFO,13-JAN-2026,106.0,93.45,97.8,9212840,Options,Put,NIFTY,25700.0,6350500
2026-01-12 09:17:00,108.35,NFO,13-JAN-2026,108.35,99.35,104.95,9212840,Options,Put,NIFTY,25700.0,3932175
2026-01-12 09:18:00,106.8,NFO,13-JAN-2026,109.6,100.25,109.6,9212840,Options,Put,NIFTY,25700.0,3242005
2026-01-12 09:19:00,111.55,NFO,13-JAN-2026,111.55,101.65,104.5,10185305,Options,Put,NIFTY,25700.0,2691325
2026-01-12 09:20:00,123.65,NFO,13-JAN-2026,126.2,109.5,109.5,10185305,Options,Put,NIFTY,25700.0,5801185
2026-01-12 09:21:00,130.05,NFO,13-JAN-2026,134.9,124.15,124.95,10185305,Options,Put,NIFTY,25700.0,3946800
2026-01-12 09:22:00,131.75,NFO,13-JAN-2026,139.0,128.6,129.85,9792510,Options,Put,NIFTY,25700.0,2976935
2026-01-12 09:23:00,140.85,NFO,13-JAN-2026,141.65,131.3,131.85,9792510,Options,Put,NIFTY,25700.0,2322580
2026-01-12 09:24:00,141.25,NFO,13-JAN-2026,145.5,137.8,139.05,9792510,Options,Put,NIFTY,25700.0,2441725
2026-01-12 09:25:00,146.65,NFO,13-JAN-2026,147.95,136.8,141.8,9122750,Options,Put,NIFTY,25700.0,2004405
2026-01-12 09:26:00,142.4,NFO,13-JAN-2026,145.9,140.65,143.7,9122750,Options,Put,NIFTY,25700.0,1516905
2026-01-12 09:27:00,166.9,NFO,13-JAN-2026,166.9,142.9,143.0,9122750,Options,Put,NIFTY,25700.0,3846375
2026-01-12 09:28:00,163.25,NFO,13-JAN-2026,167.45,160.95,164.8,8327475,Options,Put,NIFTY,25700.0,1770600
2026-01-12 09:29:00,162.0,NFO,13-JAN-2026,163.9,155.95,162.9,8327475,Options,Put,NIFTY,25700.0,1248780
2026-01-12 09:30:00,143.65,NFO,13-JAN-2026,164.35,143.5,163.15,8327475,Options,Put,NIFTY,25700.0,1871610
2026-01-12 09:31:00,152.15,NFO,13-JAN-2026,154.05,132.85,143.3,8174530,Options,Put,NIFTY,25700.0,2650635
2026-01-12 09:32:00,155.3,NFO,13-JAN-2026,160.45,148.6,152.55,8174530,Options,Put,NIFTY,25700.0,1844050
2026-01-12 09:33:00,147.95,NFO,13-JAN-2026,158.8,146.5,155.55,8174530,Options,Put,NIFTY,25700.0,1099930
2026-01-12 09:34:00,143.6,NFO,13-JAN-2026,145.9,139.35,144.45,8076965,Options,Put,NIFTY,25700.0,1193660
2026-01-12 09:35:00,141.85,NFO,13-JAN-2026,149.9,140.4,144.0,8076965,Options,Put,NIFTY,25700.0,936910
2026-01-12 09:36:00,144.5,NFO,13-JAN-2026,152.45,142.65,142.65,8076965,Options,Put,NIFTY,25700.0,1004705
2026-01-12 09:37:00,141.6,NFO,13-JAN-2026,146.3,136.45,145.15,8326890,Options,Put,NIFTY,25700.0,1000285
2026-01-12 09:38:00,133.85,NFO,13-JAN-2026,140.75,128.65,140.75,8326890,Options,Put,NIFTY,25700.0,1217710
2026-01-12 09:39:00,140.45,NFO,13-JAN-2026,141.7,130.3,133.5,8326890,Options,Put,NIFTY,25700.0,1000870
