datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2025-10-13 09:15:00,31.4,NFO,14-OCT-2025,31.8,25.0,28.15,12378375,Options,Put,NIFTY,25100.0,6742050
2025-10-13 09:16:00,42.0,NFO,14-OCT-2025,42.7,31.8,32.75,12378375,Options,Put,NIFTY,25100.0,6666375
2025-10-13 09:17:00,36.3,NFO,14-OCT-2025,45.05,33.05,42.4,12378375,Options,Put,NIFTY,25100.0,6541725
2025-10-13 09:18:00,34.7,NFO,14-OCT-2025,37.0,31.6,36.4,12844050,Options,Put,NIFTY,25100.0,3666300
2025-10-13 09:19:00,35.15,NFO,14-OCT-2025,35.55,32.6,34.75,12844050,Options,Put,NIFTY,25100.0,2334525
2025-10-13 09:20:00,36.95,NFO,14-OCT-2025,39.35,34.3,34.9,12844050,Options,Put,NIFTY,25100.0,3138750
2025-10-13 09:21:00,38.0,NFO,14-OCT-2025,39.35,36.6,36.8,13261650,Options,Put,NIFTY,25100.0,1684875
2025-10-13 09:22:00,33.75,NFO,14-OCT-2025,37.65,32.5,37.65,13261650,Options,Put,NIFTY,25100.0,2310225
2025-10-13 09:23:00,35.55,NFO,14-OCT-2025,36.4,33.0,33.8,13261650,Options,Put,NIFTY,25100.0,1536975
2025-10-13 09:24:00,34.25,NFO,14-OCT-2025,37.15,34.05,35.5,13711500,Options,Put,NIFTY,25100.0,1396350
2025-10-13 09:25:00,39.6,NFO,14-OCT-2025,39.85,34.3,34.35,13711500,Options,Put,NIFTY,25100.0,2628375
2025-10-13 09:26:00,36.0,NFO,14-OCT-2025,40.35,36.0,39.6,13711500,Options,Put,NIFTY,25100.0,2834175
2025-10-13 09:27:00,36.7,NFO,14-OCT-2025,37.0,33.9,36.5,14039850,Options,Put,NIFTY,25100.0,2168250
2025-10-13 09:28:00,36.35,NFO,14-OCT-2025,37.7,34.8,36.85,14039850,Options,Put,NIFTY,25100.0,1486875
2025-10-13 09:29:00,39.55,NFO,14-OCT-2025,39.7,35.55,36.15,14039850,Options,Put,NIFTY,25100.0,1587000
2025-10-13 09:30:00,44.8,NFO,14-OCT-2025,44.8,38.8,39.3,14039775,Options,Put,NIFTY,25100.0,3756525
2025-10-13 09:31:00,49.0,NFO,14-OCT-2025,49.25,43.85,44.7,14039775,Options,Put,NIFTY,25100.0,5905575
2025-10-13 09:32:00,48.3,NFO,14-OCT-2025,51.1,45.65,49.4,14039775,Options,Put,NIFTY,25100.0,6634200
2025-10-13 09:33:00,48.65,NFO,14-OCT-2025,49.65,47.1,48.9,14969325,Options,Put,NIFTY,25100.0,3092700
2025-10-13 09:34:00,48.9,NFO,14-OCT-2025,51.75,48.5,48.5,14969325,Options,Put,NIFTY,25100.0,4116600
2025-10-13 09:35:00,52.4,NFO,14-OCT-2025,52.7,49.4,49.75,14969325,Options,Put,NIFTY,25100.0,3755550
2025-10-13 09:36:00,48.25,NFO,14-OCT-2025,52.05,47.95,52.05,15872100,Options,Put,NIFTY,25100.0,3013800
2025-10-13 09:37:00,45.75,NFO,14-OCT-2025,49.1,45.7,49.1,15872100,Options,Put,NIFTY,25100.0,2596125
2025-10-13 09:38:00,41.2,NFO,14-OCT-2025,47.5,41.2,45.35,15872100,Options,Put,NIFTY,25100.0,3329625
2025-10-13 09:39:00,36.5,NFO,14-OCT-2025,41.95,34.95,41.0,16345275,Options,Put,NIFTY,25100.0,4414650
2025-10-13 09:40:00,34.8,NFO,14-OCT-2025,37.25,34.8,36.75,16345275,Options,Put,NIFTY,25100.0,2983350
2025-10-13 09:41:00,35.35,NFO,14-OCT-2025,36.6,33.2,34.65,16345275,Options,Put,NIFTY,25100.0,2433000
2025-10-13 09:42:00,35.75,NFO,14-OCT-2025,35.75,34.05,35.0,17374275,Options,Put,NIFTY,25100.0,1749000
2025-10-13 09:43:00,35.75,NFO,14-OCT-2025,38.85,34.6,35.5,17374275,Options,Put,NIFTY,25100.0,2366250
